latinad_id,display_name,latitude,longitude,city
8474,Transmilenio Totems Bog  - EstaciÃ³n AV 68,4.6801586,-74.0793765,
8475,Transmilenio Totems Bog  - EstaciÃ³n Banderas,4.63128,-74.14474,
8476,Transmilenio Totems Bog  - Portal El Dorado,4.6805546,-74.1206518,
8477,Transmilenio Totems Bog  - EstaciÃ³n El Tiempo,4.6559742,-74.1050645,
8538,City Mall CR - Foodcourt Pantalla,10.00301611,-84.21166627,
8775,SMART FIT - TINTAL - 5 Pantallas,4.64197222,-74.15566667,
8776,SMART FIT - SUBA - 6 Pantallas,4.73863889,-74.08641667,
8777,SMART FIT - SANTA BARBARA - 5 Pantallas,4.70086111,-74.04597222,
8778,SMART FIT - SALITRE PLAZA - BOGOTA - 5 Pantallas,4.65383333,-74.10963889,
8779,SMART FIT - PLAZA LAS AMERICAS - 7 Pantallas,4.62016667,-74.13588889,
8780,SMART FIT - NUESTRO BOGOTÃ - 8 Pantallas,4.68416667,-74.11586111,
8781,SMART FIT - NIZA BOGOTA - 5 Pantallas,4.71552778,-74.07297222,
8782,SMART FIT - METROPOLIS - BOGOTA - 7 Pantallas,4.68075,-74.08252778,
8783,SMART FIT - METRO FONTIBON - 5 Pantallas,4.68069444,-74.15258333,
8785,SMART FIT - LA FELICIDAD - 5 Pantallas,4.65247222,-74.12538889,
8786,SMART FIT - Ã‰XITO OCCIDENTE - 5 Pantallas,4.72088889,-74.12244444,
8787,SMART FIT - Ã‰XITO NORTE - 5 Pantallas,4.75447222,-74.04436111,
8788,SMART FIT - EXITO COUNTRY - BTA - 7 Pantallas,4.71233333,-74.03497222,
8789,SMART FIT - EL TUNAL - BOGOTA - 5 Pantallas,4.57844444,-74.131,
8791,SMART FIT - COLINA - BOGOTA - 7 Pantallas,4.73413889,-74.06677778,
8792,SMART FIT - CHAPINERO - BOGOTA - 7 Pantallas,4.63872222,-74.06558333,
8793,SMART FIT - CEDRITOS 140 - 5 Pantallas,4.72011111,-74.03822222,
8794,SMART FIT - CEDRITOS - 8 Pantallas,4.72122222,-74.02694444,
8795,SMART FIT - CALLE 85 - 5 Pantallas,4.66961111,-74.05472222,
8796,SMART FIT - CALLE 80 (Titan) - 6 Pantallas,4.69172222,-74.08497222,
8797,SMART FIT - CALLE 116 - 4 Pantallas,4.69847222,-74.05066667,
8798,SMART FIT - CALLE 100 (WEWORK) - 5 Pantallas,4.68669444,-74.05202778,
8799,SMART FIT - CALIMA BOGOTA - 6 Pantallas,4.61847222,-74.08705556,
8800,SMART FIT - BOSA - 7 Pantallas,4.60502778,-74.18305556,
8801,SMART FIT - BOGOTA SAN MARTIN - 6 Pantallas,4.61858333,-74.06794444,
8802,SMART FIT - BOGOTA CALLE 167 - 6 Pantallas,4.75036111,-74.06225,
8803,SMART FIT - BACATA - BOGOTA - 10 Pantallas,4.60483333,-74.07041667,
8804,SMART FIT - AUTOPISTA SUR - 5 Pantallas,4.60022222,-74.15494444,
8805,SMART FIT - 20 DE JULIO - 8 Pantallas,4.56908333,-74.09991667,
8957,DF3161 Prol. paseo la reforma 777,19.4282234,-99.1652147,
8958,DF3357 alvaro obregon,19.4168303,-99.1682558,
8959,DF3316 Cuahtemoc,19.3811291,-99.1585823,
